URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/ds-automobiles-ds-3-ds3-crossback-chic-100-ch-1ere-main-suivi-came-essence-blanc-6a2b6d06-e705-4bac-9d38-7081bba28ca2,DS Automobiles DS 3,DS3 CROSSBACK Chic 100 ch 1ere main ~ Suivi ~ Came,"€ 10 990,-",SUV/4x4/Pick-Up,Occasion,,5,,,74 000 km,01/2020,74 kW (101 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,17
https://www.autoscout24.fr/offres/ds-automobiles-ds-3-ds3-crossback-chic-100-ch-1ere-main-suivi-came-essence-blanc-6a2b6d06-e705-4bac-9d38-7081bba28ca2,DS Automobiles DS 3,DS3 CROSSBACK Chic 100 ch 1ere main ~ Suivi ~ Came,"€ 10 990,-",SUV/4x4/Pick-Up,Occasion,,5,,,74 000 km,01/2020,74 kW (101 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,18
https://www.autoscout24.fr/offres/seat-ibiza-iii-1-4-tdi-diesel-f709e442-9b79-40e1-8ce4-fdea806d9802,SEAT Ibiza,III 1.4 TDi,"€ 2 990,-",Citadine,Occasion,5,3,,,209 900 km,04/2009,52 kW (71 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Autre,,,19
https://www.autoscout24.fr/offres/seat-ibiza-iii-1-4-tdi-diesel-f709e442-9b79-40e1-8ce4-fdea806d9802,SEAT Ibiza,III 1.4 TDi,"€ 2 990,-",Citadine,Occasion,5,3,,,209 900 km,04/2009,52 kW (71 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Autre,,,20
https://www.autoscout24.fr/offres/opel-corsa-1-3-cdti-75-ecoflex-cosmo-diesel-c7594f5a-fb6d-4374-899f-28db3c2e1e7a,Opel Corsa,1.3 CDTI - 75 EcoFlex Cosmo,"€ 2 000,-",Berline,Occasion,5,5,,,71 000 km,07/2008,55 kW (75 CH),Boîte manuelle,1 248 cm³,Diesel,,,Autres,,21
https://www.autoscout24.fr/offres/opel-corsa-1-3-cdti-75-ecoflex-cosmo-diesel-c7594f5a-fb6d-4374-899f-28db3c2e1e7a,Opel Corsa,1.3 CDTI - 75 EcoFlex Cosmo,"€ 2 000,-",Berline,Occasion,5,5,,,71 000 km,07/2008,55 kW (75 CH),Boîte manuelle,1 248 cm³,Diesel,,,Autres,,22
https://www.autoscout24.fr/offres/renault-scenic-iii-1-6l-dci-130-cv-energy-bose-edition-reprise-diesel-blanc-8bec265d-fa14-4e9f-ae88-e202e339d3ab,Renault Scenic,III 1.6L dCi 130 CV * Energy Bose Edition Reprise,"€ 5 990,-",Monospace,Occasion,5,5,1070VO006604,3 mois,199 900 km,04/2015,96 kW (131 CH),Boîte manuelle,1 598 cm³,Diesel,114 g/km (mixte),Blanc,,,23
https://www.autoscout24.fr/offres/renault-scenic-iii-1-6l-dci-130-cv-energy-bose-edition-reprise-diesel-blanc-8bec265d-fa14-4e9f-ae88-e202e339d3ab,Renault Scenic,III 1.6L dCi 130 CV * Energy Bose Edition Reprise,"€ 5 990,-",Monospace,Occasion,5,5,1070VO006604,3 mois,199 900 km,04/2015,96 kW (131 CH),Boîte manuelle,1 598 cm³,Diesel,114 g/km (mixte),Blanc,,,24
https://www.autoscout24.fr/offres/dacia-sandero-sce-65-access-essence-blanc-a84a2511-f115-433b-8522-5f474486feaf,Dacia Sandero,SCe 65 Access,"€ 7 490,-",Berline,Occasion,5,5,2qutobyev,6 mois,36 800 km,08/2021,49 kW (67 CH),Boîte manuelle,999 cm³,Essence,,White,,,25
https://www.autoscout24.fr/offres/dacia-sandero-sce-65-access-essence-blanc-a84a2511-f115-433b-8522-5f474486feaf,Dacia Sandero,SCe 65 Access,"€ 7 490,-",Berline,Occasion,5,5,2qutobyev,6 mois,36 800 km,08/2021,49 kW (67 CH),Boîte manuelle,999 cm³,Essence,,White,,,26
https://www.autoscout24.fr/offres/peugeot-3008-active-business-diesel-noir-70bc51ca-61d2-4378-a00f-cb9478cc0363,Peugeot 3008,Active Business,"€ 15 490,-",Autres,Occasion,5,5,VF3MCYHZUMS027190,3 mois,136 500 km,01/2021,96 kW (131 CH),Boîte automatique,,Diesel,103 g/km (mixte),NOIR,Métallisé,,27
